City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
254,Hobyo,SO,76.21,broken clouds,5.3505,48.5268,Iftin hotel hobyo
257,Malakal,SS,72.16,overcast clouds,9.5334,31.6605,Nile Palace Hotel
258,Aviles,ES,70.38,overcast clouds,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
261,Quatre Cocos,MU,69.91,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
264,Port Hardy,CA,62.78,clear sky,50.6996,-127.4199,Airport Inn-Port Hardy
269,Gravelbourg,CA,71.87,clear sky,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
271,Spiridonovka,RU,66.54,broken clouds,53.0925,50.6462,
273,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
276,Wewak,PG,78.69,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
279,Bougouni,ML,79.05,broken clouds,11.417,-7.479,Non Stop
280,Ketchikan,US,71.26,clear sky,55.3422,-131.6461,Snow's Cove Lodge
281,Chapais,CA,62.38,moderate rain,49.7834,-74.8492,Hôtel Opémiska
283,Guerrero Negro,MX,78.64,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
285,Verkh-Suetka,RU,64.44,light rain,53.3,80.05,
288,Hay River,CA,60.78,light rain,60.8156,-115.7999,Ptarmigan Inn
291,Los Llanos De Aridane,ES,73.13,few clouds,28.6585,-17.9182,Valle Aridane
293,Ullapool,GB,63.36,scattered clouds,57.8987,-5.1604,Argyll Hotel
296,Visnes,NO,61.21,clear sky,59.3556,5.2242,Park Inn Haugesund Airport
299,Herzogenbuchsee,CH,78.13,moderate rain,47.188,7.7062,BnB Wolke 7
300,Betare Oya,CM,67.51,light rain,5.6,14.0833,Auberge Tembina Betaré Oya
301,Yerbogachen,RU,63.09,overcast clouds,61.2767,108.0108,
302,Altay,CN,67.51,scattered clouds,47.8667,88.1167,Jinqiao Hotel
303,Anloga,GH,76.44,overcast clouds,5.7947,0.8973,Pin Drop Hotel
